transactionId,accountId,amount,type,date
1,1395,41.2,withdrawal,10/24/23
2,164,59.8,deposit,12/03/23
3,996,27.3,withdrawal,12/01/23
4,292,413.1,withdrawal,09/26/23
5,972,457.2,deposit,07/11/23
6,1068,67.3,withdrawal,03/20/23
7,649,109.2,deposit,09/06/23
8,80,318.8,withdrawal,05/24/24
9,18,411.5,deposit,01/29/23
10,24,12.4,withdrawal,05/24/24
11,1435,411.8,withdrawal,03/12/24
12,1280,189,deposit,03/07/23
13,1764,441.3,deposit,11/18/23
14,1558,316.6,deposit,12/19/23
15,1633,435.4,withdrawal,01/20/24
16,1140,254.5,withdrawal,01/25/24
17,716,223.7,withdrawal,07/27/23
18,1716,391.3,deposit,12/07/23
19,991,185.2,withdrawal,09/02/23
20,1621,282.5,deposit,02/21/24
21,166,361.7,withdrawal,01/21/24
22,1186,85.2,withdrawal,03/08/24
23,1765,461.1,deposit,01/29/24
24,581,257.8,withdrawal,11/20/23
25,227,135.8,withdrawal,05/09/24
26,1104,457.6,deposit,08/18/23
27,25,107,deposit,11/12/23
28,352,207.7,withdrawal,03/11/23
29,1763,462.7,withdrawal,02/25/23
30,431,174.6,withdrawal,06/07/23
31,255,205.5,deposit,03/16/23
32,1440,358.1,deposit,06/05/23
33,407,152.5,withdrawal,02/16/24
34,1526,140.4,deposit,08/17/23
35,1738,136.9,deposit,04/28/24
36,1716,205,deposit,05/22/23
37,941,174.8,withdrawal,03/13/23
38,1639,322.2,deposit,02/10/23
39,404,415.9,withdrawal,09/03/23
40,1564,462.2,withdrawal,03/30/24
41,1432,283.4,deposit,01/27/24
42,464,200.7,withdrawal,02/10/24
43,1279,488.6,withdrawal,12/14/23
44,1664,227.6,withdrawal,04/07/23
45,303,364,withdrawal,03/10/24
46,659,249.5,deposit,07/25/23
47,319,329,deposit,02/23/23
48,1584,63.6,deposit,07/15/23
49,1760,329.7,deposit,07/11/23
50,626,326.8,withdrawal,04/22/24
51,529,163.5,deposit,10/03/23
52,278,163.9,deposit,01/31/24
53,180,104,withdrawal,02/19/23
54,1570,88.8,deposit,01/06/24
55,1772,299.5,deposit,04/04/24
56,738,470.8,withdrawal,07/28/23
57,809,408.3,withdrawal,12/04/23
58,1186,347.5,deposit,10/19/23
59,6,387.6,deposit,11/15/23
60,1721,142.6,deposit,09/04/23
61,438,114.2,withdrawal,08/24/23
62,1423,55.8,withdrawal,11/27/23
63,994,175,withdrawal,03/10/24
64,263,407.5,deposit,02/24/24
65,1330,286.7,deposit,07/03/23
66,152,155.9,deposit,12/10/23
67,1750,285.3,withdrawal,07/08/23
68,1625,302.2,deposit,06/28/23
69,1643,283.4,deposit,02/23/24
70,1665,8,deposit,01/20/23
71,1635,201.8,withdrawal,03/18/23
72,1236,249.7,withdrawal,12/13/23
73,1370,74.6,deposit,01/06/23
74,1788,292.8,deposit,09/15/23
75,222,396,deposit,06/19/23
76,2,318.8,deposit,01/31/23
77,883,159.2,withdrawal,02/07/23
78,409,54,withdrawal,03/08/24
79,435,182.7,withdrawal,01/22/24
80,1056,367.4,deposit,05/25/24
81,572,294.1,deposit,03/23/23
82,99,47.3,withdrawal,04/15/23
83,728,305.9,withdrawal,06/08/23
84,375,305.1,withdrawal,03/21/24
85,221,349.4,deposit,05/03/24
86,1602,369.1,deposit,10/01/23
87,1356,369.5,deposit,12/19/23
88,44,91.1,withdrawal,05/01/23
89,1646,435.5,deposit,09/29/23
90,391,445.5,withdrawal,05/04/24
91,155,218.8,deposit,02/06/23
92,1486,141.2,deposit,03/22/24
93,630,127.4,deposit,05/16/24
94,863,81,withdrawal,02/25/23
95,421,142.8,deposit,04/11/24
96,393,144.9,withdrawal,04/28/24
97,561,478.6,deposit,01/04/23
98,527,55.6,deposit,03/12/23
99,1524,377.8,deposit,11/22/23
100,412,174.1,deposit,05/28/24
101,1373,463.3,deposit,11/17/23
102,932,117.4,deposit,12/17/23
103,131,217.5,withdrawal,07/27/23
104,349,431.2,deposit,05/03/23
105,467,91.3,deposit,01/01/23
106,401,70.4,deposit,06/12/23
107,89,361.2,deposit,02/04/24
108,1091,237.9,withdrawal,06/15/23
109,129,122.2,deposit,11/08/23
110,525,284.3,withdrawal,08/26/23
111,1475,394.7,deposit,10/12/23
112,1089,419.7,deposit,01/11/23
113,432,363.8,withdrawal,11/02/23
114,577,245.6,withdrawal,04/04/24
115,217,140,withdrawal,05/10/23
116,927,145.8,withdrawal,09/29/23
117,1438,374.1,deposit,02/24/23
118,727,399.5,deposit,04/30/23
119,471,424.4,deposit,06/22/23
120,803,247.5,deposit,11/02/23
121,600,134.2,withdrawal,02/13/24
122,1332,233.6,deposit,01/10/23
123,1245,15.2,deposit,09/23/23
124,37,235.6,withdrawal,05/22/23
125,1732,20.7,withdrawal,02/08/24
126,216,425.7,withdrawal,08/30/23
127,611,493.7,withdrawal,04/13/24
128,1613,297.5,withdrawal,12/18/23
129,257,241.4,withdrawal,10/29/23
130,1192,497.3,withdrawal,04/13/24
131,553,164,deposit,12/07/23
132,1592,207.9,withdrawal,02/13/24
133,1634,378.5,withdrawal,08/08/23
134,1696,230.4,deposit,10/15/23
135,1312,347.9,deposit,09/10/23
136,1081,68.2,withdrawal,10/15/23
137,223,228,withdrawal,04/30/24
138,1410,422.9,deposit,07/12/23
139,1046,417.1,withdrawal,02/17/24
140,850,364.9,deposit,05/31/23
141,294,148.8,deposit,10/06/23
142,330,371.9,deposit,07/18/23
143,926,38.1,withdrawal,05/28/24
144,338,313.9,withdrawal,03/06/24
145,555,197.8,deposit,04/26/24
146,307,297,deposit,03/25/24
147,976,404.1,deposit,08/22/23
148,1778,91.7,deposit,04/28/23
149,981,385.8,withdrawal,04/28/23
150,156,356.7,deposit,03/29/23
151,1443,158.3,deposit,01/24/24
152,1241,88.1,deposit,09/10/23
153,1677,368.6,withdrawal,01/04/23
154,1667,256.4,deposit,07/09/23
155,1182,124.3,withdrawal,12/24/23
156,919,118.1,withdrawal,12/01/23
157,1132,170.4,withdrawal,01/02/23
158,1157,62.7,deposit,11/16/23
159,100,204.2,deposit,11/26/23
160,978,339.6,withdrawal,02/11/24
161,1593,286.3,withdrawal,08/15/23
162,1340,95.9,deposit,03/14/24
163,813,448.4,withdrawal,08/12/23
164,1630,255.9,deposit,01/14/23
165,80,283.8,withdrawal,06/29/23
166,581,93.5,deposit,06/01/23
167,1799,238.6,withdrawal,02/10/23
168,848,380.7,deposit,01/01/23
169,1704,11.8,withdrawal,11/06/23
170,189,389.1,deposit,01/05/24
171,493,416.8,withdrawal,05/31/24
172,1453,325.9,withdrawal,12/19/23
173,1300,270.8,deposit,05/05/24
174,694,7.3,withdrawal,04/06/24
175,1720,383.5,withdrawal,05/31/24
176,1214,493.1,withdrawal,05/02/23
177,655,252.1,deposit,11/06/23
178,810,270.5,deposit,02/13/24
179,1719,118,withdrawal,02/28/24
180,1061,221.2,deposit,01/20/23
181,1494,353.1,withdrawal,06/01/23
182,598,374.7,withdrawal,06/02/23
183,1323,26,withdrawal,09/17/23
184,509,52.1,deposit,03/15/24
