accountId,beneficiaryId
1,79
2,183
3,334
4,640
5,360
6,405
7,885
8,866
9,276
10,980
11,821
12,694
13,652
14,573
15,934
16,400
17,151
18,750
19,657
20,261
21,181
22,691
23,669
24,58
25,917
26,410
27,217
28,321
29,282
30,370
31,804
32,136
33,328
34,203
35,578
36,895
37,726
38,640
39,294
40,695
41,252
42,400
43,583
44,243
45,554
46,554
47,903
48,909
49,628
50,75
51,872
52,645
53,954
54,62
55,119
56,260
57,722
58,842
59,989
60,279
61,270
62,720
63,650
64,616
65,29
66,544
67,772
68,194
69,604
70,953
71,241
72,911
73,929
74,392
75,223
76,486
77,881
78,517
79,201
80,942
81,88
82,145
83,990
84,817
85,214
86,784
87,576
88,134
89,317
90,602
91,342
92,322
93,602
94,569
95,487
96,78
97,469
98,961
99,11
100,43
101,11
102,365
103,756
104,248
105,19
106,603
107,271
108,288
109,605
110,902
111,590
112,989
113,345
114,320
115,297
116,811
117,492
118,841
119,132
120,32
121,368
122,544
123,955
124,371
125,920
126,831
127,571
128,703
129,48
130,186
131,474
132,449
133,495
134,209
135,336
136,958
137,21
138,900
139,177
140,83
141,655
142,879
143,742
144,902
145,655
146,128
147,721
148,933
149,33
150,275
151,478
152,424
153,203
154,518
155,400
156,378
157,273
158,243
159,220
160,188
161,409
162,954
163,552
164,373
165,93
166,447
167,770
168,704
169,77
170,806
171,873
172,429
173,444
174,54
175,14
176,788
177,734
178,85
179,986
180,13
181,412
182,93
183,348
184,109
185,888
186,24
187,89
188,122
189,245
190,415
191,691
192,241
193,94
194,214
195,269
196,983
197,120
198,652
199,796
200,351
201,619
202,498
203,615
204,69
205,9
206,280
207,219
208,570
209,766
210,918
211,777
212,262
213,492
214,347
215,253
216,951
217,400
218,427
219,18
220,45
221,832
222,527
223,404
224,425
225,254
226,811
227,608
228,394
229,438
230,242
231,224
232,487
233,487
234,74
235,396
236,105
237,930
238,893
239,618
240,91
241,265
242,443
243,556
244,640
245,463
246,20
247,321
248,636
249,244
250,465
251,233
252,311
253,475
254,68
255,86
