transactionId,accountId,balance,type
1,1395,41.2,withdrawal
2,164,59.8,deposit
3,996,27.3,withdrawal
4,292,413.1,withdrawal
5,972,457.2,deposit
6,1068,67.3,withdrawal
7,649,109.2,deposit
8,80,318.8,withdrawal
9,18,411.5,deposit
10,24,12.4,withdrawal
11,1435,411.8,withdrawal
12,1280,189,deposit
13,1764,441.3,deposit
14,1558,316.6,deposit
15,1633,435.4,withdrawal
16,1140,254.5,withdrawal
17,716,223.7,withdrawal
18,1716,391.3,deposit
19,991,185.2,withdrawal
20,1621,282.5,deposit
21,166,361.7,withdrawal
22,1186,85.2,withdrawal
23,1765,461.1,deposit
24,581,257.8,withdrawal
25,227,135.8,withdrawal
26,1104,457.6,deposit
27,25,107,deposit
28,352,207.7,withdrawal
29,1763,462.7,withdrawal
30,431,174.6,withdrawal
31,255,205.5,deposit
32,1440,358.1,deposit
33,407,152.5,withdrawal
34,1526,140.4,deposit
35,1738,136.9,deposit
36,1716,205,deposit
37,941,174.8,withdrawal
38,1639,322.2,deposit
39,404,415.9,withdrawal
40,1564,462.2,withdrawal
41,1432,283.4,deposit
42,464,200.7,withdrawal
43,1279,488.6,withdrawal
44,1664,227.6,withdrawal
45,303,364,withdrawal
46,659,249.5,deposit
47,319,329,deposit
48,1584,63.6,deposit
49,1760,329.7,deposit
50,626,326.8,withdrawal
51,529,163.5,deposit
52,278,163.9,deposit
53,180,104,withdrawal
54,1570,88.8,deposit
55,1772,299.5,deposit
56,738,470.8,withdrawal
57,809,408.3,withdrawal
58,1186,347.5,deposit
59,6,387.6,deposit
60,1721,142.6,deposit
61,438,114.2,withdrawal
62,1423,55.8,withdrawal
63,994,175,withdrawal
64,263,407.5,deposit
65,1330,286.7,deposit
66,152,155.9,deposit
67,1750,285.3,withdrawal
68,1625,302.2,deposit
69,1643,283.4,deposit
70,1665,8,deposit
71,1635,201.8,withdrawal
72,1236,249.7,withdrawal
73,1370,74.6,deposit
74,1788,292.8,deposit
75,222,396,deposit
76,2,318.8,deposit
77,883,159.2,withdrawal
78,409,54,withdrawal
79,435,182.7,withdrawal
80,1056,367.4,deposit
81,572,294.1,deposit
82,99,47.3,withdrawal
83,728,305.9,withdrawal
84,375,305.1,withdrawal
85,221,349.4,deposit
86,1602,369.1,deposit
87,1356,369.5,deposit
88,44,91.1,withdrawal
89,1646,435.5,deposit
90,391,445.5,withdrawal
91,155,218.8,deposit
92,1486,141.2,deposit
93,630,127.4,deposit
94,863,81,withdrawal
95,421,142.8,deposit
96,393,144.9,withdrawal
97,561,478.6,deposit
98,527,55.6,deposit
99,1524,377.8,deposit
100,412,174.1,deposit
101,1373,463.3,deposit
102,932,117.4,deposit
103,131,217.5,withdrawal
104,349,431.2,deposit
105,467,91.3,deposit
106,401,70.4,deposit
107,89,361.2,deposit
108,1091,237.9,withdrawal
109,129,122.2,deposit
110,525,284.3,withdrawal
111,1475,394.7,deposit
112,1089,419.7,deposit
113,432,363.8,withdrawal
114,577,245.6,withdrawal
115,217,140,withdrawal
116,927,145.8,withdrawal
117,1438,374.1,deposit
118,727,399.5,deposit
119,471,424.4,deposit
120,803,247.5,deposit
121,600,134.2,withdrawal
122,1332,233.6,deposit
123,1245,15.2,deposit
124,37,235.6,withdrawal
125,1732,20.7,withdrawal
126,216,425.7,withdrawal
127,611,493.7,withdrawal
128,1613,297.5,withdrawal
129,257,241.4,withdrawal
130,1192,497.3,withdrawal
131,553,164,deposit
132,1592,207.9,withdrawal
133,1634,378.5,withdrawal
134,1696,230.4,deposit
135,1312,347.9,deposit
136,1081,68.2,withdrawal
137,223,228,withdrawal
138,1410,422.9,deposit
139,1046,417.1,withdrawal
140,850,364.9,deposit
141,294,148.8,deposit
142,330,371.9,deposit
143,926,38.1,withdrawal
144,338,313.9,withdrawal
145,555,197.8,deposit
146,307,297,deposit
147,976,404.1,deposit
148,1778,91.7,deposit
149,981,385.8,withdrawal
150,156,356.7,deposit
151,1443,158.3,deposit
152,1241,88.1,deposit
153,1677,368.6,withdrawal
154,1667,256.4,deposit
155,1182,124.3,withdrawal
156,919,118.1,withdrawal
157,1132,170.4,withdrawal
158,1157,62.7,deposit
159,100,204.2,deposit
160,978,339.6,withdrawal
161,1593,286.3,withdrawal
162,1340,95.9,deposit
163,813,448.4,withdrawal
164,1630,255.9,deposit
165,80,283.8,withdrawal
166,581,93.5,deposit
167,1799,238.6,withdrawal
168,848,380.7,deposit
169,1704,11.8,withdrawal
170,189,389.1,deposit
171,493,416.8,withdrawal
172,1453,325.9,withdrawal
173,1300,270.8,deposit
174,694,7.3,withdrawal
175,1720,383.5,withdrawal
176,1214,493.1,withdrawal
177,655,252.1,deposit
178,810,270.5,deposit
179,1719,118,withdrawal
180,1061,221.2,deposit
181,1494,353.1,withdrawal
182,598,374.7,withdrawal
183,1323,26,withdrawal
184,509,52.1,deposit
185,225,89.4,withdrawal
186,513,236.6,withdrawal
187,880,61.1,deposit
188,1631,138.7,withdrawal
189,520,474.4,withdrawal
190,1699,368.6,deposit
191,867,256.8,deposit
192,1642,239.8,deposit
193,593,400.2,withdrawal
194,405,14.2,withdrawal
195,1637,408.6,withdrawal
196,518,221.3,deposit
197,816,228.3,deposit
198,488,13.4,deposit
199,632,162.7,deposit
200,265,333.2,withdrawal
201,1786,213,deposit
202,1670,328.2,deposit
203,1696,199.2,deposit
204,510,370.1,deposit
205,1401,192.2,withdrawal
206,1129,495.8,withdrawal
207,290,172.6,withdrawal
208,1106,322.6,deposit
209,974,179.8,withdrawal
210,1443,210.3,deposit
211,1723,465.3,deposit
212,303,201.2,deposit
213,391,125.8,withdrawal
214,1323,398.6,withdrawal
215,1318,483.6,deposit
216,1149,283.8,deposit
217,238,360,deposit
218,172,166.8,deposit
219,33,235.4,deposit
220,418,362.6,deposit
221,690,50.3,deposit
222,190,184.2,deposit
223,1379,442.8,deposit
224,1487,91.7,deposit
225,660,293.8,deposit
226,361,128.5,deposit
227,453,176.9,deposit
228,961,265.5,deposit
229,40,269.5,withdrawal
230,984,69.8,withdrawal
231,339,336.4,withdrawal
232,992,425,deposit
233,928,174.4,deposit
234,1608,378.7,withdrawal
235,983,285.8,withdrawal
236,156,189.3,withdrawal
237,566,268.9,deposit
238,1688,473.2,withdrawal
239,714,26,deposit
240,1612,307.9,deposit
241,42,208.4,withdrawal
242,1609,72.2,withdrawal
243,452,128.5,deposit
244,1740,250.4,deposit
245,1482,288.5,deposit
246,1694,467.8,deposit
247,895,282,deposit
248,701,138.8,withdrawal
249,518,79.2,deposit
250,1094,386.1,deposit
251,795,55.1,withdrawal
252,520,500.8,withdrawal
253,1391,244.3,withdrawal
254,1445,47.4,withdrawal
255,1324,241,deposit
256,1598,211.8,deposit
257,1204,178,withdrawal
258,598,286.8,withdrawal
259,1299,77.8,deposit
260,778,491.2,withdrawal
261,1412,443.7,deposit
262,137,302.5,withdrawal
263,841,447.1,deposit
264,727,221.4,withdrawal
265,1585,15.1,withdrawal
266,11,81.6,deposit
267,436,108.1,withdrawal
268,398,296.1,deposit
269,1709,353.4,withdrawal
270,1328,344.9,deposit
271,788,432.6,deposit
272,845,359.2,deposit
